x,y,token
-48.014294,13.387759,improve
-33.583603,20.746778,complete
-0.16577044,7.422719,became
-45.20227,15.475112,desirable
-35.87216,36.822685,quitted
-40.80847,-0.28822586,trade
-13.058025,-44.431744,established
-40.140907,32.11517,favourable
22.994007,34.66077,opening
-45.0598,27.677505,concern
-36.63155,38.81878,leisure
-39.840572,12.710607,occupation
-36.807667,16.170486,pleasures
45.605972,-48.059715,eighteen
-18.862764,31.873957,realised
-20.588408,30.440746,purchase
-12.16458,32.247356,adjoining
-35.439426,-3.2568328,longed
-1.8628057,-47.626373,according
-52.895184,20.303072,wishes
-30.217932,15.465398,friendly
-31.723982,33.17982,begun
-43.508068,24.393122,influence
-34.306675,31.60159,schemes
-1.2357748,5.3938174,youth
19.191988,-8.917897,shaken
-30.898048,22.273308,determination
26.352652,40.59114,settling
-12.808263,5.7988176,sale
35.974453,46.171272,forward
29.180761,43.506046,steadily
-12.970243,0.73466474,objects
-25.100729,21.195051,view
-23.954014,-4.8910165,accomplished
-6.8854165,-19.579203,bought
-26.638195,-5.2804646,obtained
-20.845816,4.5241323,beginning
32.80655,0.04020744,new
-47.260933,25.281748,probability
-7.777659,-16.68512,greater
-35.75278,2.2402024,unhappy
-27.712822,27.914747,secured
29.008183,-70.82008,second
-47.39942,12.881431,delightful
-42.531757,17.37761,judging
-43.91058,-22.489992,truly
-47.629257,22.143267,proof
-30.08141,-30.41081,choose
-11.415445,-42.16487,chosen
-47.919212,18.46898,excite
-21.51808,0.5057604,choice
-34.32245,15.134689,heir
-51.334423,-3.463964,assume
-42.436703,1.8742911,unlikely
-41.41168,23.241982,assistance
-44.156998,21.54932,apprehension
-43.625267,40.722664,aunt
3.5426157,-3.0252948,capricious
-35.117035,10.264664,governed
-10.589899,-0.20939827,nature
-41.789276,6.398403,caprice
0.53836036,-26.005064,strong
